model,model_label,ablation,horizon,task,kpi,is_primary_kpi,mae,rmse,mape_floor1_pct,runnable_status
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_DL CCE Allocation Failure Rate(%),0,0.32359858450954554,0.5494415320548468,18.882034530090593,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_DL PRB Utilizing Rate(%),1,4.927325059918936,6.621308448674168,27.412373877256897,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_DL Traffic Volume(GB),0,0.4910673490725655,0.7724484841415951,22.876720503875248,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_UL PRB Utilizing Rate(%),1,1.8163647320945626,2.7018101327301554,10.766391889420087,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_UL Traffic Volume(GB),0,0.06498985531406093,0.12177212568557524,6.313601667638135,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_User DL Average Throughput(Mbps),1,2.7081961275459077,4.798381884483765,44.21572039172404,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,LTE_User UL Average Throughput(Mbps),1,0.5875769472792142,1.0014685612262508,26.225510145710395,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,RRC Conn Users Avg,0,2.4065693256328755,3.764753264240995,27.0655824667731,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,RRC ReEst Succ Rate(%),0,11.695069946623033,18.21377825917738,256.4764559508675,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,RRC Setup Success Rate(%),1,3.401473621881041,10.232705130964439,102.32553653238136,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,RRC_ReEst_Failure_Times,0,5.898561715577287,9.93756007079487,93.06472552319886,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,RRC_Setup_Att_Times,0,227.2970473161973,356.87192176723494,355.9877584218929,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,RRC_Setup_Failure_Times,0,1.889532206504886,3.804526211938308,83.44922238238641,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Rach Dedicate Preamble Att Times,0,480.31071556128506,946.2927653856727,547.2611682677823,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Rach GroupA Preamble Att Times,0,300.274629848305,505.69231056053474,442.23271321262797,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,Rach GroupB Preamble Att Times,0,67.90403215897126,205.1848812673296,200.99686913259268,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,S1Sig Setup Success Rate(%),0,3.3340223391333086,10.225307228737702,102.60555839719532,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,TAlessthan1ratio(300m),0,4.639744368668232,7.61068249285763,60.78006317553757,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,UL Activated Users Avg,0,0.18505492434919715,0.2883293012638994,13.774582550758755,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,UL IBLER,0,2.1203980579044326,4.232306286419036,30.04940744855274,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,UL MCS AVG,0,1.5280518777864975,2.4966884169562955,23.509288775169036,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,UL PUCCH RSRP low than-120dBm ratio,0,4.88213996665328,8.913189519267897,71.14652110658196,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,1,forecasting,UL PUSCH RSRP low than-120dBm ratio,0,7.677205220531729,11.50143033571614,66.0996162590447,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,(E2N or E2W or E2G)Redirection Times,0,2.573690813233862,5.605870432290397,86.23486355753789,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Average TA,0,0.16737046499077748,0.32069009076760024,8.828308532262117,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,CQI AVG,1,0.5373894707987531,1.1390889562558115,13.432368188362526,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Call Drop Rate RNL(%),0,0.188675059461996,0.48142520171856984,16.812331823393823,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Call Drop Rate(%),1,0.1923339698597684,0.4853646174920325,17.125452004387192,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Call Drop Times,0,1.9473748245805957,4.313351689797578,89.06478075434647,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Call Drop Times RNL,0,1.8620144009609083,4.1662790203202364,89.14384693370748,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,DL Activated Users Avg,0,0.17127942533964668,0.25291305772459255,13.648294606506669,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,DL IBLER,0,1.4469299217912865,2.705875980806988,22.24946307605535,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,DL MCS AVG,0,1.238687668685799,2.153712540917592,21.336063068025773,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,DL RANK2 Ratio,0,7.443553578240181,10.960731517485753,66.48000156421841,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,ERAB Setup Success Rate(%),1,3.2777351789830163,10.096239388634258,100.11314391627444,run
