model,model_label,ablation,horizon,task,metric,value,label_type,runnable_status
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,3,forecasting,all_kpi_mape_floor1_pct,124.75680478517741,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,primary_mae,2.5353668646050123,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,primary_rmse,5.07862386784857,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,primary_mape_floor1_pct,47.27072329161204,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,all_kpi_mae,42.18747874520919,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,all_kpi_rmse,103.46922801197236,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,3,forecasting,all_kpi_mape_floor1_pct,125.86776319837654,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,primary_mae,2.53676108264019,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,primary_rmse,5.082938366859887,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,primary_mape_floor1_pct,47.162126460491756,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,all_kpi_mae,42.158700018481376,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,all_kpi_rmse,102.72908468313751,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,3,forecasting,all_kpi_mape_floor1_pct,125.31222435877645,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,primary_mae,2.5367610718021605,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,primary_rmse,5.082938276165617,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,primary_mape_floor1_pct,47.162126178261936,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,all_kpi_mae,42.15870033818487,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,all_kpi_rmse,102.72908913731128,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,3,forecasting,all_kpi_mape_floor1_pct,125.31222214697767,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,primary_mae,3.054862722072654,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,primary_rmse,5.684027913241845,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,primary_mape_floor1_pct,56.10561044259272,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,all_kpi_mae,50.79875556930537,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,all_kpi_rmse,101.86528389899568,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,3,forecasting,all_kpi_mape_floor1_pct,161.8930607713858,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,primary_mae,2.5367309473402813,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,primary_rmse,5.082903228427403,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,primary_mape_floor1_pct,47.16244859481408,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,all_kpi_mae,42.15853134079384,real_kpi,run
